protein,chainSize,population,generations,processingTime,resultSize,machineType
2N0I,12,20,1,0.1833,1,Local
2N0I,12,30,30,1.8167,1.4,Local
2N0I,12,30,60,3.4000,1.5,Local
2N0I,12,30,90,5.1500,1.7,Local
2N0I,12,30,150,8.4167,1.8,Cluster
1BCV,20,20,11,0.5167,1.5,Local
1BCV,20,20,20,0.9167,1.4,Local
1BCV,20,20,20,0.9000,1,Local
1BCV,20,20,20,0.8000,1.4,Cluster
1BCV,20,20,40,1.6667,1.5,Cluster
1BCV,20,20,80,3.1667,1.4,Cluster
1BCV,20,20,120,4.7000,1.5,Cloud
1BCV,20,20,160,6.0667,1.5,Cloud
1AI0,21,20,20,0.8500,1.00,Local
1AI0,21,20,40,1.7000,1.8,Local
1AI0,21,20,60,2.4667,1.1,Local
1AI0,21,45,100,9.2667,1.4,Cluster
1AI0,21,45,150,13.9333,1.4,Cluster
1AI0,21,45,350,31.4500,1.4,Cloud
1AI0,21,50,100,9.8833,1.7,Local
1AI0,21,50,100,9.8833,1.7,Local
1AI0,21,50,200,19.5333,1.7,Local
1AI0,21,50,300,29.3500,1.9,Local
1AI0,21,100,200,39.5333,1.5,Local
1AI0,21,100,300,59.1500,1.6,Cloud
1AI0,21,100,400,78.2167,1.7,Local
1AI0,21,120,120,29.6667,1.2,Local
1AI0,21,120,240,59.6500,1.7,Local
1AI0,21,120,400,96.3500,2.1,Cloud
1AI0,21,500,80,82.6833,1.6,Cloud
1AI0,21,500,1000,1024.1667,9.1,Cloud
2ETI,28,20,20,1.0833,1.6,Local
2ETI,28,20,20,1.1000,1.6,Local
2ETI,28,20,20,1.1000,1.6,Cluster
2ETI,28,20,30,1.5667,1.7,Cloud
2ETI,28,20,40,1.8333,1.6,Cloud
2ETI,28,20,50,2.5333,1.7,Cloud
2ETI,28,20,70,3.1667,1.5,Local
2ETI,28,20,90,4.4000,1.7,Local
2ETI,28,20,100,4.5833,1.6,Local
2ETI,28,20,150,6.9000,1.7,Local
2ETI,28,20,300,13.4833,1.7,Local
2ETI,28,200,200,84.6667,2.2,Cloud
2ETI,28,200,300,135.3667,2.7,Cluster
2ETI,28,200,400,177.5333,3.1,Cluster
1C94,38,20,20,1.9500,1.5,Local
1C94,38,49,120,54.5833,1.8,Local
1C94,38,60,30,6.5333,1.3,Local
1C94,38,60,60,14.2333,1.4,Local
1C94,38,60,100,23.5000,1.4,Cloud
1C94,38,60,150,35.4500,1.6,Cloud
1C94,38,80,100,31.0833,2.2,Local
1C94,38,80,140,43.5333,2.1,Cluster
1C94,38,80,200,62.2833,2.1,Local
1C94,38,80,250,74.5333,2.2,Cluster
1C94,38,80,250,77.9333,2.2,Cluster
1C94,38,120,60,28.4000,1.6,Local
1C94,38,120,140,64.8500,1.7,Cluster
1C94,38,120,180,82.7500,1.8,Cluster
1C94,38,120,200,92.4333,1.8,Local
1C94,38,200,70,55.4333,1.5,Cluster
1C94,38,200,100,79.9167,1.7,Cluster
1C94,38,200,150,119.0000,1.8,Local
1C94,38,200,200,156.8333,2,Cluster
1C94,38,200,250,197.5167,2.1,Cloud
1C94,38,200,250,197.9500,2.1,Cluster
1C94,38,200,300,235.4000,2.2,Cluster
1C94,38,200,350,276.0833,2.5,Cluster
1C94,38,200,400,283.0667,2.6,Cluster
1C94,38,200,400,315.2167,2.5,Cloud
1C94,38,200,500,394.4167,2.8,Cloud
1C94,38,200,1000,784.2000,4.3,Cloud
5K2L,49,20,40,4.0333,2,Cloud
5K2L,49,20,60,5.9167,1.9,Cloud
5K2L,49,20,80,7.8333,1.8,Cloud
5K2L,49,50,100,23.6833,1.3,Cloud
5K2L,49,50,150,35.2333,1.4,Cloud
5K2L,49,50,200,46.8167,1.5,Cloud
5K2L,49,50,50,10.7500,1.3,Local
5K2L,49,50,75,20.1167,1.2,Local
5K2L,49,50,200,53.5167,1.4,Cluster
5K2L,49,50,300,69.8333,1.5,Cluster
5K2L,49,200,400,386.4500,3.5,Cloud
5K2L,49,200,600,581.1333,4.2,Cloud
5K2L,49,200,800,770.7333,4.8,Cloud
5K2L,49,200,100,112.5833,2.4,Cluster
5K2L,49,200,200,220.7667,2.9,Cloud
5HVZ,50,20,10,1.5000,1.7,Local
5HVZ,50,20,20,2.6667,1.8,Local
5HVZ,50,20,20,2.8167,1.8,Local
5HVZ,50,20,30,4.1333,1.9,Local
5HVZ,50,20,40,4.9667,1.8,Local
5HVZ,50,20,40,5.4167,1.8,Local
5HVZ,50,20,80,10.5833,2,Local
5HVZ,50,20,120,15.7500,1.9,Local
5HVZ,50,20,160,19.1333,2,Local
5HVZ,50,60,90,34.1167,1.3,Local
5HVZ,50,60,120,45.3833,1.4,Cluster
5HVZ,50,60,160,120.1500,3.1,Cluster
5HVZ,50,60,200,75.0000,1.7,Cluster
5HVZ,50,60,250,93.8167,2,Cluster
5HVZ,50,60,300,103.2167,1.9,Cluster
5HVZ,50,100,100,49.1167,1.8,Cloud
5HVZ,50,100,200,129.7667,1.7,Cloud
5HVZ,50,100,300,194.6000,1.9,Cloud
5HVZ,50,100,400,226.2167,2.1,Cloud
1B1G,75,20,40,6.6833,2.7,Local
1B1G,75,20,60,9.9500,2.7,Local
1B1G,75,20,80,13.1667,2.6,Local
1B1G,75,30,60,17.5167,2.1,Local
1B1G,75,30,90,26.2000,2.1,Local
1B1G,75,30,90,24.8000,2,Cluster
1B1G,75,30,120,34.9833,2.1,Cluster
1B1G,75,30,150,40.3833,2.1,Cluster
1B1G,75,50,100,40.2333,1.8,Cloud
1B1G,75,50,150,120.2000,2.1,Cloud
1B1G,75,50,200,80.0833,2,Cloud
1C7M,100,30,30,10.6500,2.6,Local
1C7M,100,30,30,23.9500,2.5,Local
1C7M,100,30,30,19.2500,2.5,Local
1C7M,100,30,50,34.9833,2.8,Cluster
1C7M,100,30,70,34.2500,2.8,Cluster
1C7M,100,30,100,61.9333,3,Cluster
1C7M,100,30,120,50.0333,2.9,Cluster
1C7M,100,50,30,48.5500,2.7,Cluster
1C7M,100,50,60,44.8000,3.1,Cloud
1C7M,100,50,60,108.6167,3.1,Cluster
1C7M,100,50,80,56.1333,3.1,Cluster
1C7M,100,50,80,127.1333,3,Cluster
1C7M,100,50,100,68.9167,3.2,Cluster
1C7M,100,100,30,273.6000,2.4,Cluster
1C7M,100,100,90,177.6333,2.3,Cluster
1C7M,100,100,100,146.5167,2.3,Cluster
1EOD,100,100,200,287.9667,2.3,Local
1EOD,100,100,300,429.4000,2.5,Local
1EOD,100,100,400,440.9333,2.1,Cluster
1EOD,100,200,400,1008.6500,2.8,Cluster
1EOD,100,200,600,1158.5667,3,Cluster
1EOD,100,200,800,2311.5833,3.1,Cloud
1EOD,100,300,600,2624.8500,2.8,Cloud
1EOD,100,300,900,4010.0667,3.7,Cloud
1EOD,100,300,1200,5733.2000,3.6,Cloud
1OZ9,150,20,30,38.2667,3.2,Local
1OZ9,150,20,150,126.8500,3.6,Cluster
1OZ9,150,20,160,163.0000,3.7,Local
1OZ9,150,40,60,94.7833,2.7,Cloud
1OZ9,150,50,20,48.5000,2.4,Local
1OZ9,150,50,30,46.4667,3.7,Local
1OZ9,150,50,30,70.7833,2.4,Local
1OZ9,150,50,40,75.0833,2.5,Local
1OZ9,150,50,90,270.2667,3.6,Cluster
1OZ9,150,50,90,206.1000,2.5,Cluster
1OZ9,150,50,120,215.2000,3,Cloud
1OZ9,150,50,150,342.2167,3.3,Cloud
1OZ9,150,50,150,470.6500,3.3,Cloud
1OZ9,150,50,200,405.4667,2.7,Cloud
1AGY,200,20,30,52.7500,5.5,Local
1AGY,200,20,60,96.3333,5.4,Local
1AGY,200,20,80,108.1333,5.7,Cluster
1AGY,200,20,90,105.4333,4.8,Cluster
1AGY,200,20,300,342.8500,6.2,Cloud
1AGY,200,50,40,132.2500,4.4,Cluster
1AGY,200,50,70,193.5333,4.4,Cluster
1AGY,200,50,30,58.6833,4.5,Cloud
4IEU,200,50,2,7.1833,3.8,Local
4IEU,200,50,10,25.3833,3.6,Local
4IEU,200,50,15,29.8000,3.4,Cluster
4IEU,200,50,20,48.4000,2.9,Cluster
4IEU,200,50,30,112.1500,2.7,Cloud
2EEK,220,20,20,77.2000,3.2,Cluster
2EEK,220,20,60,138.1333,3,Cluster
2EEK,220,20,90,151.8333,3.7,Cloud
2EEK,220,20,200,243.1000,3.9,Cloud
2EEK,220,30,20,63.8000,3.9,Cloud
2EEK,220,30,30,78.3500,4,Cluster
2R3A ,300,20,60,205.3500,5,Local
2R3A ,300,20,90,226.9667,4.2,Cluster
2R3A ,300,20,150,395.6333,4,Cluster
2R3A ,300,20,200,416.2667,4.5,Cluster
2BX6,350,20,40,80.2667,6.4,Local
2BX6,350,20,40,180.2500,6,Cluster
2BX6,350,20,60,119.2167,6.1,Local
2BX6,350,20,60,235.3333,6.3,Cluster
2BX6,350,20,70,248.5833,4.5,Cluster
2BX6,350,20,80,157.4500,6.1,Cluster
2BX6,350,20,90,309.4667,4.7,Cluster
2BX6,350,20,150,523.7833,5.3,Cloud
2BX6,350,50,10,164.3500,4.2,Cluster
2BX6,350,50,30,256.1167,5.6,Cluster
2BX6,350,50,50,365.7167,5.3,Cloud
2BX6,350,50,100,466.5333,5.8,Cloud
2BX6,350,50,150,693.9833,5.9,Cloud
2BX6,350,200,10,196.0500,5.5,Cloud
